timestamp,total_workers,active_workers,queue_size,requests_per_second,avg_response_time,environment
2026-02-21T15:17:11.392745,3,3,0,0,0,production
2026-02-21T15:17:16.394078,3,3,0,0,0,production
2026-02-21T15:17:21.395978,3,3,0,0,0,production
2026-02-21T15:17:26.398492,3,3,0,0,0,production
2026-02-21T15:17:31.399697,3,3,0,0,0,production
2026-02-21T15:17:36.402502,3,3,0,0,0,production
2026-02-21T15:17:41.404308,3,3,0,0,0,production
2026-02-21T15:17:46.407041,3,3,0,0,0,production
2026-02-21T15:17:51.409776,3,3,0,0,0,production
2026-02-21T15:17:56.412534,3,3,0,0,0,production
2026-02-21T15:18:01.414762,3,3,0,0,0,production
2026-02-21T15:18:06.417524,3,3,0,0,0,production
2026-02-21T15:18:11.420425,3,3,0,0,0,production
2026-02-21T15:18:16.423262,3,3,0,0,0,production
2026-02-21T15:18:21.425741,3,3,0,0,0,production
2026-02-21T15:18:26.427997,3,3,0,0,0,production
2026-02-21T15:18:31.430811,3,3,0,0,0,production
2026-02-21T15:18:36.433552,3,3,0,0,0,production
2026-02-21T15:18:41.439160,3,3,0,0,0,production
2026-02-21T15:18:46.442292,3,3,0,0,0,production
2026-02-21T15:18:51.444070,3,3,0,0,0,production
2026-02-21T15:18:56.447628,3,3,0,0,0,production
2026-02-21T15:19:01.450605,3,3,0,0,0,production
2026-02-21T15:19:06.453331,3,3,0,0,0,production
2026-02-21T15:19:11.455986,3,3,0,0,0,production
2026-02-21T15:19:16.458725,3,3,0,0,0,production
2026-02-21T15:19:21.461595,3,3,0,0,0,production
2026-02-21T15:19:26.463414,3,3,0,0,0,production
2026-02-21T15:19:31.465164,3,3,0,0,0,production
2026-02-21T15:19:36.467752,3,3,0,0,0,production
2026-02-21T15:19:41.469525,3,3,0,0,0,production
2026-02-21T15:19:46.472305,3,3,0,0,0,production
2026-02-21T15:19:51.475086,3,3,0,0,0,production
2026-02-21T15:19:56.477303,3,3,0,0,0,production
2026-02-21T15:20:01.480395,3,3,0,0,0,production
2026-02-21T15:20:06.483521,3,3,0,0,0,production
2026-02-21T15:20:11.486307,3,3,0,0,0,production
2026-02-21T15:20:16.489755,3,3,0,0,0,production
2026-02-21T15:20:21.493509,3,3,0,0,0,production
2026-02-21T15:20:26.496725,3,3,0,0,0,production
2026-02-21T15:20:31.497914,3,3,0,0,0,production
2026-02-21T15:20:36.500234,3,3,0,0,0,production
2026-02-21T15:20:41.502782,3,3,0,0,0,production
2026-02-21T15:20:46.505176,3,3,0,0,0,production
2026-02-21T15:20:51.507622,3,3,0,0,0,production
2026-02-21T15:20:56.510294,3,3,0,0,0,production
2026-02-21T15:21:01.513037,3,3,0,0,0,production
2026-02-21T15:21:06.515152,3,3,0,0,0,production
2026-02-21T15:21:11.516629,3,3,0,0,0,production
2026-02-21T15:21:16.519113,3,3,0,0,0,production
2026-02-21T15:21:21.521824,3,3,0,0,0,production
2026-02-21T15:21:26.523766,3,3,0,0,0,production
2026-02-21T15:21:31.525851,3,3,0,0,0,production
2026-02-21T15:21:36.527992,3,3,0,0,0,production
2026-02-21T15:21:41.529440,3,3,0,0,0,production
2026-02-21T15:21:46.530827,3,3,0,0,0,production
2026-02-21T15:21:51.534859,3,3,0,0,0,production
2026-02-21T15:21:56.536276,3,3,0,0,0,production
2026-02-21T15:22:01.537728,3,3,0,0,0,production
2026-02-21T15:22:06.539409,3,3,0,0,0,production
2026-02-21T15:22:11.541253,3,3,0,0,0,production
2026-02-21T15:22:16.543064,3,3,0,0,0,production
2026-02-21T15:22:21.545448,3,3,0,0,0,production
2026-02-21T15:22:26.546621,3,3,0,0,0,production
2026-02-21T15:22:31.548099,3,3,0,0,0,production
2026-02-21T15:22:36.551002,3,3,0,0,0,production
2026-02-21T15:22:41.552977,3,3,0,0,0,production
2026-02-21T15:22:46.554936,3,3,0,0,0,production
2026-02-21T15:22:51.557761,3,3,0,0,0,production
2026-02-21T15:22:56.559085,3,3,0,0,0,production
2026-02-21T15:23:01.561221,3,3,0,0,0,production
2026-02-21T15:23:06.563838,3,3,0,0,0,production
2026-02-21T15:23:11.566523,3,3,0,0,0,production
2026-02-21T15:23:16.568653,3,3,0,0,0,production
2026-02-21T15:23:21.570090,3,3,0,0,0,production
2026-02-21T15:23:26.573166,3,3,0,0,0,production
2026-02-21T15:23:31.574728,3,3,0,0,0,production
2026-02-21T15:23:36.577233,3,3,0,0,0,production
2026-02-21T15:23:41.580136,3,3,0,0,0,production
2026-02-21T15:23:46.581780,3,3,0,0,0,production
2026-02-21T15:23:51.585375,3,3,0,0,0,production
2026-02-21T15:23:56.586812,3,3,0,0,0,production
2026-02-21T15:24:01.588608,3,3,0,0,0,production
2026-02-21T15:24:06.591085,3,3,0,0,0,production
2026-02-21T15:24:11.592645,3,3,0,0,0,production
2026-02-21T15:24:16.595197,3,3,0,0,0,production
2026-02-21T15:24:21.596532,3,3,0,0,0,production
2026-02-21T15:24:26.597879,3,3,0,0,0,production
2026-02-21T15:24:31.599956,3,3,0,0,0,production
2026-02-21T15:24:36.601899,3,3,0,0,0,production
2026-02-21T15:24:41.603579,3,3,0,0,0,production
2026-02-21T15:24:46.605780,3,3,0,0,0,production
2026-02-21T15:24:51.608256,3,3,0,0,0,production
2026-02-21T15:24:56.610906,3,3,0,0,0,production
2026-02-21T15:25:01.613182,3,3,0,0,0,production
2026-02-21T15:25:06.615465,3,3,0,0,0,production
2026-02-21T15:25:11.618351,3,3,0,0,0,production
2026-02-21T15:25:16.621051,3,3,0,0,0,production
2026-02-21T15:25:21.623174,3,3,0,0,0,production
2026-02-21T15:25:26.624653,3,3,0,0,0,production
2026-02-21T15:25:31.626066,3,3,0,0,0,production
2026-02-21T15:25:36.627196,3,3,0,0,0,production
2026-02-21T15:25:41.629071,3,3,0,0,0,production
2026-02-21T15:25:46.630566,3,3,0,0,0,production
2026-02-21T15:25:51.632051,3,3,0,0,0,production
2026-02-21T15:25:56.633681,3,3,0,0,0,production
2026-02-21T15:26:01.634923,3,3,0,0,0,production
2026-02-21T15:26:06.636038,3,3,0,0,0,production
2026-02-21T15:26:11.637956,3,3,0,0,0,production
2026-02-21T15:26:16.639439,3,3,0,0,0,production
2026-02-21T15:26:21.641234,3,3,0,0,0,production
2026-02-21T15:26:26.642557,3,3,0,0,0,production
2026-02-21T15:26:31.644241,3,3,0,0,0,production
2026-02-21T15:26:36.645667,3,3,0,0,0,production
2026-02-21T15:26:41.648422,3,3,0,0,0,production
2026-02-21T15:26:46.649552,3,3,0,0,0,production
2026-02-21T15:26:51.651196,3,3,0,0,0,production
2026-02-21T15:26:56.652627,3,3,0,0,0,production
2026-02-21T15:27:01.655230,3,3,0,0,0,production
2026-02-21T15:27:06.656156,3,3,0,0,0,production
2026-02-21T15:27:11.657871,3,3,0,0,0,production
2026-02-21T15:27:16.659809,3,3,0,0,0,production
2026-02-21T15:27:21.662102,3,3,0,0,0,production
2026-02-21T15:27:26.664741,3,3,0,0,0,production
2026-02-21T15:27:31.666574,3,3,0,0,0,production
2026-02-21T15:27:36.668280,3,3,0,0,0,production
2026-02-21T15:27:41.670293,3,3,0,0,0,production
2026-02-21T15:27:46.672227,3,3,0,0,0,production
2026-02-21T15:27:51.673536,3,3,0,0,0,production
2026-02-21T15:27:56.675258,3,3,0,0,0,production
2026-02-21T15:28:01.677853,3,3,0,0,0,production
2026-02-21T15:28:06.678935,3,3,0,0,0,production
2026-02-21T15:28:11.680573,3,3,0,0,0,production
2026-02-21T15:28:16.682881,3,3,0,0,0,production
2026-02-21T15:28:21.685522,3,3,0,0,0,production
2026-02-21T15:28:26.687857,3,3,0,0,0,production
2026-02-21T15:28:31.688924,3,3,0,0,0,production
2026-02-21T15:28:36.690373,3,3,0,0,0,production
2026-02-21T15:28:41.692485,3,3,0,0,0,production
2026-02-21T15:28:46.694589,3,3,0,0,0,production
2026-02-21T15:28:51.697229,3,3,0,0,0,production
2026-02-21T15:28:56.699659,3,3,0,0,0,production
2026-02-21T15:29:01.702020,3,3,0,0,0,production
2026-02-21T15:29:06.703950,3,3,0,0,0,production
2026-02-21T15:29:11.705859,3,3,0,0,0,production
2026-02-21T15:29:16.706918,3,3,0,0,0,production
2026-02-21T15:29:21.708303,3,3,0,0,0,production
2026-02-21T15:29:26.710973,3,3,0,0,0,production
2026-02-21T15:29:31.713360,3,3,0,0,0,production
2026-02-21T15:29:36.714468,3,3,0,0,0,production
2026-02-21T15:29:41.716628,3,3,0,0,0,production
2026-02-21T15:29:46.718277,3,3,0,0,0,production
2026-02-21T15:29:51.720933,3,3,0,0,0,production
2026-02-21T15:29:56.721974,3,3,0,0,0,production
2026-02-21T15:30:01.723397,3,3,0,0,0,production
2026-02-21T15:30:06.724961,3,3,0,0,0,production
2026-02-21T15:30:11.726772,3,3,0,0,0,production
2026-02-21T15:30:16.728158,3,3,0,0,0,production
2026-02-21T15:30:21.730104,3,3,0,0,0,production
2026-02-21T15:30:26.732762,3,3,0,0,0,production
2026-02-21T15:30:31.734432,3,3,0,0,0,production
2026-02-21T15:30:36.736413,3,3,0,0,0,production
2026-02-21T15:30:41.737475,3,3,0,0,0,production
2026-02-21T15:30:46.740074,3,3,0,0,0,production
2026-02-21T15:30:51.743587,3,3,0,0,0,production
2026-02-21T15:30:56.746176,3,3,0,0,0,production
2026-02-21T15:31:01.747245,3,3,0,0,0,production
2026-02-21T15:31:06.748321,3,3,0,0,0,production
2026-02-21T15:31:11.750789,3,3,0,0,0,production
2026-02-21T15:31:16.752793,3,3,0,0,0,production
2026-02-21T15:31:21.755612,3,3,0,0,0,production
2026-02-21T15:31:26.758353,3,3,0,0,0,production
2026-02-21T15:31:31.759901,3,3,0,0,0,production
2026-02-21T15:31:36.762138,3,3,0,0,0,production
2026-02-21T15:31:41.763997,3,3,0,0,0,production
2026-02-21T15:31:46.767014,3,3,0,0,0,production
2026-02-21T15:31:51.769405,3,3,0,0,0,production
2026-02-21T15:31:56.771871,3,3,0,0,0,production
2026-02-21T15:32:01.774749,3,3,0,0,0,production
2026-02-21T15:32:06.777291,3,3,0,0,0,production
2026-02-21T15:32:11.780630,3,3,0,0,0,production
2026-02-21T15:32:16.783198,3,3,0,0,0,production
2026-02-21T15:32:21.785986,3,3,0,0,0,production
2026-02-21T15:32:26.788640,3,3,0,0,0,production
2026-02-21T15:32:31.790363,3,3,0,0,0,production
2026-02-21T15:32:36.793487,3,3,0,0,0,production
2026-02-21T15:32:41.795599,3,3,0,0,0,production
2026-02-21T15:32:46.798634,3,3,0,0,0,production
2026-02-21T15:32:51.801158,3,3,0,0,0,production
2026-02-21T15:32:56.802535,3,3,0,0,0,production
2026-02-21T15:33:01.805237,3,3,0,0,0,production
2026-02-21T15:33:06.808411,3,3,0,0,0,production
2026-02-21T15:33:11.810765,3,3,0,0,0,production
2026-02-21T15:33:16.813003,3,3,0,0,0,production
2026-02-21T15:33:21.815263,3,3,0,0,0,production
2026-02-21T15:33:26.816874,3,3,0,0,0,production
2026-02-21T15:33:31.818883,3,3,0,0,0,production
2026-02-21T15:33:36.820499,3,3,0,0,0,production
2026-02-21T15:33:41.822332,3,3,0,0,0,production
2026-02-21T15:33:46.823598,3,3,0,0,0,production
2026-02-21T15:33:51.825291,3,3,0,0,0,production
